1.44393	0 1 3 2 4 6 8 5 7 9 
1.44482	0 1 3 2 4 5 8 7 9 6 
1.45053	0 2 1 3 4 5 6 9 7 8 
1.4596	0 1 2 4 3 8 5 6 9 7 
1.46133	0 2 1 3 4 6 5 8 7 9 
1.46175	0 1 2 3 4 6 9 8 7 5 
1.46308	0 1 2 3 6 4 7 8 5 9 
1.4636	0 2 1 3 4 5 8 6 7 9 
1.46363	0 1 2 3 4 7 9 6 5 8 
1.46442	0 1 2 3 7 4 6 5 8 9 
1.46572	0 1 2 5 3 4 6 7 9 8 
1.46618	0 1 2 3 6 4 8 5 9 7 
1.46777	0 1 2 4 3 8 5 7 6 9 
1.4731	0 2 1 3 4 5 7 8 6 9 
1.47426	0 1 2 4 3 8 6 5 7 9 
1.47495	0 2 1 3 4 6 5 7 9 8 
1.47505	0 1 2 5 3 4 6 8 7 9 
1.47727	0 1 2 4 5 3 6 9 8 7 
1.47846	0 1 3 2 4 5 9 7 6 8 
1.48139	0 1 3 2 5 4 6 8 9 7 
1.48359	0 1 2 3 5 7 4 8 6 9 
1.48454	0 1 3 2 5 4 7 6 9 8 
1.48485	0 1 2 3 4 9 5 8 7 6 
1.48584	0 1 2 3 4 9 6 7 5 8 
1.4886	0 1 2 3 6 5 4 8 9 7 
1.4938	0 1 3 2 4 5 9 6 8 7 
1.49446	0 1 2 4 3 7 5 8 9 6 
1.49458	0 2 1 3 4 5 6 9 8 7 
1.4949	0 1 2 5 3 4 7 6 8 9 
1.49534	0 2 1 3 5 4 6 7 8 9 
1.49592	0 1 2 3 4 7 9 5 8 6 
1.4983	0 1 3 2 4 7 5 9 6 8 
1.50242	0 1 2 3 7 4 5 8 6 9 
1.50297	0 1 2 4 3 7 6 8 5 9 
1.50493	0 1 2 3 4 9 7 5 6 8 
1.50655	0 1 2 4 3 9 5 6 7 8 
1.5105	0 1 2 3 5 6 7 4 8 9 
1.5133	0 1 2 4 3 6 9 7 5 8 
1.51721	0 1 2 3 4 8 6 9 5 7 
1.51771	0 1 2 4 3 7 5 9 8 6 
1.51875	0 1 3 2 4 5 8 9 6 7 
1.52088	0 1 3 2 5 4 8 6 7 9 
1.5236	0 1 2 3 6 4 8 7 5 9 
1.52387	0 1 2 3 7 4 6 5 9 8 
1.52533	0 1 2 3 4 8 7 5 9 6 
1.52572	0 1 3 2 4 8 5 6 7 9 
1.53059	0 1 3 2 5 4 7 8 6 9 
1.53309	0 1 2 4 6 3 5 7 8 9 
1.53379	0 1 2 4 5 3 8 6 7 9 
1.5338	0 1 2 3 4 8 6 7 9 5 
1.53606	0 1 3 2 5 4 6 9 7 8 
1.53717	0 1 3 2 4 6 7 8 5 9 
1.53896	0 1 2 3 6 5 4 9 7 8 
1.54271	0 1 2 5 3 4 7 6 9 8 
1.54488	0 1 2 3 5 8 4 6 7 9 
1.54617	0 2 1 3 4 5 8 7 6 9 
1.5466	0 1 3 2 4 6 8 5 9 7 
1.55197	0 1 2 4 3 6 7 8 9 5 
1.56119	0 2 1 3 5 4 6 8 7 9 
1.5613	0 2 1 3 5 4 7 6 8 9 
1.56155	0 1 2 3 4 7 8 6 9 5 
1.56618	0 1 2 4 3 9 5 6 8 7 
1.5671	0 1 2 4 3 8 6 5 9 7 
1.56746	0 1 4 2 3 5 6 7 8 9 
1.56927	0 1 2 4 5 3 7 8 6 9 
1.57146	0 2 1 4 3 5 6 7 8 9 
1.57216	0 1 3 2 4 5 8 9 7 6 
1.57269	0 1 2 4 6 3 5 7 9 8 
1.57379	0 1 3 2 4 7 5 8 9 6 
1.57496	0 2 1 3 4 5 8 6 9 7 
1.57718	0 1 2 3 7 5 4 6 8 9 
1.57728	0 1 3 2 5 4 6 9 8 7 
1.57849	0 2 1 3 4 6 5 8 9 7 
